"2009;""c#"";""760"""
"2009;""c++"";""1667"""
"2009;""c"";""2545"""
"2009;""coffeescript"";""10"""
"2009;""css"";""105"""
"2009;""delphi"";""7"""
"2009;""go"";""86"""
"2009;""haskell"";""298"""
"2009;""java"";""2182"""
"2009;""javascript"";""5329"""
"2009;""matlab"";""15"""
"2009;""objective-c"";""1517"""
"2009;""perl"";""3074"""
"2009;""php"";""2372"""
"2009;""powershell"";""5"""
"2009;""processing"";""2"""
"2009;""python"";""4543"""
"2009;""r"";""48"""
"2009;""ruby"";""14374"""
"2009;""scala"";""277"""
"2009;""shell"";""892"""
"2009;""sql"";""0"""
"2009;""swift"";""0"""
"2009;""xml"";""6"""
"2010;""c#"";""2688"""
"2010;""c++"";""4429"""
"2010;""c"";""7321"""
"2010;""coffeescript"";""160"""
"2010;""css"";""217"""
"2010;""delphi"";""49"""
"2010;""go"";""331"""
"2010;""haskell"";""779"""
"2010;""java"";""8748"""
"2010;""javascript"";""20033"""
"2010;""matlab"";""60"""
"2010;""objective-c"";""4131"""
"2010;""perl"";""3671"""
"2010;""php"";""9969"""
"2010;""powershell"";""19"""
"2010;""processing"";""5"""
"2010;""python"";""13312"""
"2010;""r"";""174"""
"2010;""ruby"";""26423"""
"2010;""scala"";""886"""
"2010;""shell"";""2990"""
"2010;""sql"";""0"""
"2010;""swift"";""1"""
"2010;""xml"";""3"""
"2011;""c#"";""8986"""
"2011;""c++"";""15437"""
"2011;""c"";""21605"""
"2011;""coffeescript"";""2844"""
"2011;""css"";""730"""
"2011;""delphi"";""163"""
"2011;""go"";""1115"""
"2011;""haskell"";""2377"""
"2011;""java"";""37232"""
"2011;""javascript"";""78769"""
"2011;""matlab"";""366"""
"2011;""objective-c"";""15651"""
"2011;""perl"";""7372"""
"2011;""php"";""36778"""
"2011;""powershell"";""113"""
"2011;""processing"";""35"""
"2011;""python"";""41896"""
"2011;""r"";""643"""
"2011;""ruby"";""63549"""
"2011;""scala"";""2914"""
"2011;""shell"";""11389"""
"2011;""sql"";""2"""
"2011;""swift"";""2"""
"2011;""xml"";""30"""
"2012;""c#"";""41179"""
"2012;""c++"";""64531"""
"2012;""c"";""81013"""
"2012;""coffeescript"";""14128"""
"2012;""css"";""2851"""
"2012;""delphi"";""751"""
"2012;""go"";""7686"""
"2012;""haskell"";""7421"""
"2012;""java"";""177529"""
"2012;""javascript"";""393911"""
"2012;""matlab"";""1752"""
"2012;""objective-c"";""75616"""
"2012;""perl"";""21071"""
"2012;""php"";""154860"""
"2012;""powershell"";""1038"""
"2012;""processing"";""70"""
"2012;""python"";""156554"""
"2012;""r"";""3328"""
"2012;""ruby"";""230858"""
"2012;""scala"";""12260"""
"2012;""shell"";""43453"""
"2012;""sql"";""3"""
"2012;""swift"";""1"""
"2012;""xml"";""69"""
"2013;""c#"";""99268"""
"2013;""c++"";""165589"""
"2013;""c"";""208026"""
"2013;""coffeescript"";""32309"""
"2013;""css"";""129834"""
"2013;""delphi"";""1483"""
"2013;""go"";""34033"""
"2013;""haskell"";""12983"""
"2013;""java"";""477563"""
"2013;""javascript"";""943706"""
"2013;""matlab"";""6778"""
"2013;""objective-c"";""167155"""
"2013;""perl"";""34066"""
"2013;""php"";""335312"""
"2013;""powershell"";""2846"""
"2013;""processing"";""3541"""
"2013;""python"";""351058"""
"2013;""r"";""10587"""
"2013;""ruby"";""448783"""
"2013;""scala"";""26879"""
"2013;""shell"";""106108"""
"2013;""sql"";""20"""
"2013;""swift"";""5"""
"2013;""xml"";""1887"""
"2014;""c#"";""102654"""
"2014;""c++"";""153353"""
"2014;""c"";""159280"""
"2014;""coffeescript"";""32027"""
"2014;""css"";""288520"""
"2014;""delphi"";""76"""
"2014;""go"";""43513"""
"2014;""haskell"";""13750"""
"2014;""java"";""448344"""
"2014;""javascript"";""730393"""
"2014;""matlab"";""8782"""
"2014;""objective-c"";""124900"""
"2014;""perl"";""23835"""
"2014;""php"";""274001"""
"2014;""powershell"";""4362"""
"2014;""processing"";""4122"""
"2014;""python"";""316552"""
"2014;""r"";""70027"""
"2014;""ruby"";""328843"""
"2014;""scala"";""22329"""
"2014;""shell"";""107900"""
"2014;""sql"";""594"""
"2014;""swift"";""10981"""
"2014;""xml"";""73"""
